id,LON,LAT,AREA,SA,DHW,SST08,SST10
67141,164.539484,-20.97694,15.994,1,0.042817076645212,0.480881413083796,0.701916503212032
67142,164.578272,-20.971097,15.623,1,0.039802312380819,0.466302245093251,0.678811448602672
67143,164.628348,-20.980076,3.419,1,0.039828285574913,0.466752648353577,0.679521441459656
67144,164.65232,-20.977761,1.486,1,0.038993559777737,0.452277600765228,0.65670371055603
67160,165.405781,-20.979155,0.72,1,0.037681851536036,0.449065715074539,0.614156424999237
67161,165.414717,-20.958719,0.241,1,0.037681851536036,0.449065715074539,0.614156424999237
67163,165.527782,-20.963377,0.104,1,0.043167185038328,0.482107371091843,0.677474200725555
67164,165.572805,-20.979404,2.747,1,0.046420865743684,0.4880979086595,0.707655187845788
67204,167.384001,-20.977147,1.626,1,0.04102074727416,0.343298077583313,0.536473214626312
67205,167.387714,-20.993891,0.006,1,0.04102074727416,0.343298077583313,0.536473214626312
67338,158.571032,-21.014888,6.578,0,0.045389757281708,0.375231985941761,0.551370404001656
67339,158.595808,-21.026858,5.935,0,0.047111631052941,0.373050082027445,0.553782558880029
67345,158.894156,-20.999624,0.747,0,0.053694988446744,0.356810517621221,0.572293659887319
67346,158.921968,-20.996701,1.034,0,0.054676313227911,0.352929149948517,0.589290042444564
67352,159.206131,-21.01958,3.916,0,0.052096200748759,0.38795040864609,0.576280825440226
67353,159.214496,-21.010878,1.241,0,0.052622907773672,0.376170976948954,0.578180039890015
67469,164.45293,-21.000736,3.129,1,0.047526347392521,0.508297784855072,0.726292797203414
67470,164.492335,-21.007467,14.753,1,0.046566836560349,0.50248478928905,0.724781497939891
67471,164.52392,-21.0011,3.539,1,0.044269319533351,0.489010154289071,0.712151929328004
67473,164.627208,-21.022163,7.344,1,0.043532738762369,0.480415290912773,0.698288045840908
67474,164.65197,-21.025663,2.194,1,0.041855473071337,0.467738926410675,0.680586814880371
67490,165.406212,-21.018183,1.042,1,0.036202314839386,0.440897288517907,0.593734949220969
67491,165.413897,-21.029654,0.477,1,0.036012399941683,0.439848780632019,0.59111362695694
67492,165.492797,-21.01165,0.639,1,0.040583319686141,0.482438626448814,0.661521456433069
67493,165.505469,-21.025645,0.567,1,0.040424518287182,0.481796383857727,0.660162806510925
67527,167.06906,-20.998882,0.098,1,0.038016032975666,0.383944149247067,0.609419729159214
67528,167.086428,-21.020521,0.505,1,0.039828285574913,0.390464335680008,0.627587676048279
67534,167.383418,-21.004499,2.309,1,0.04024966491196,0.335699781147946,0.532738431895149
67535,167.407661,-21.02313,5.243,1,0.045647784259074,0.374569047833983,0.573753075508089
67536,167.437021,-21.033223,0.861,1,0.042451705783606,0.356289893388748,0.556433320045471
67681,159.166885,-21.07462,0.228,0,0.051991414278746,0.367166310548782,0.570514917373657
67682,159.179303,-21.056184,4.692,0,0.052358700503117,0.367735773120938,0.575375798648756
67803,164.628617,-21.05073,3.403,1,0.04629627436536,0.488542932138205,0.709184620775699
67804,164.661999,-21.060155,3.756,1,0.043038142281755,0.467578209604538,0.678096177570402
67805,164.728038,-21.068389,4.839,1,0.042928691953421,0.466666907072067,0.67645663022995
67806,164.742625,-21.066205,2.563,1,0.042928691953421,0.466666907072067,0.67645663022995
67820,165.41055,-21.059674,0.022,1,0.035058431327343,0.431418746709824,0.569672405719757
67821,165.419363,-21.068615,0.487,1,0.035058431327343,0.431418746709824,0.569672405719757
67822,165.485141,-21.068597,1.184,1,0.037957733764977,0.476019759318485,0.635858411276309
67823,165.503165,-21.074702,0.055,1,0.037801098078489,0.475318104028702,0.634594142436981
67866,167.448699,-21.055728,4.069,1,0.04806585736681,0.391264458154404,0.58948957653914
68011,159.166666,-21.085219,0.487,0,0.051991414278746,0.367166310548782,0.570514917373657
68012,159.173272,-21.100451,4.039,0,0.050293747001289,0.367118900659722,0.565224526896034
68134,164.683805,-21.094779,2.295,1,0.046042001829632,0.481968833544912,0.70475249199826
68135,164.714209,-21.094683,10.456,1,0.040055887089508,0.458345407371842,0.660700246945
68136,164.755498,-21.102811,3.837,1,0.038901749635512,0.458467560467185,0.657892295560947
68137,164.784785,-21.11506,0.597,1,0.041855473071337,0.465115636587143,0.677668452262878
68151,165.43652,-21.085989,0.5,1,0.035058431327343,0.431418746709824,0.569672405719757
68152,165.470226,-21.097279,0.205,1,0.036360143910264,0.44949783098928,0.587714521135826
68153,165.536533,-21.089681,3.777,1,0.037748004777093,0.473800846421324,0.6311005401765
68154,165.56323,-21.108411,3.064,1,0.042712135541953,0.490334564998264,0.657282209872628
68156,165.672955,-21.091642,2.556,1,0.047507970346932,0.503014194513697,0.703114653045202
68190,167.185708,-21.086513,0.897,1,0.039807951128385,0.346763834978959,0.566918323657027
68191,167.228696,-21.090368,0.681,1,0.040305271744728,0.331674098968506,0.547543942928314
68192,167.266185,-21.102507,0.665,1,0.040690288020516,0.34466841581726,0.567068278868182
68195,167.417177,-21.099738,4.586,1,0.045551884941065,0.35481372556129,0.563533189062918
68203,167.790875,-21.088305,0.239,1,0.057595994323492,0.475542962551117,0.649629056453705
68204,167.806007,-21.095154,3.616,1,0.057852614284349,0.495983290249951,0.655248988051433
68205,167.839172,-21.116336,0.189,1,0.056045789271593,0.489706963300705,0.652925133705139
68334,158.815108,-21.13324,0.015,0,0.049606487154961,0.36844003200531,0.567348301410675
68341,159.16479,-21.15102,1.813,0,0.047015153101007,0.367350927932809,0.556477384638401
68342,159.171145,-21.1353,2.557,0,0.048682538384219,0.367090341127605,0.560278222380464
68465,164.713714,-21.140614,3.738,1,0.045565750034808,0.476527485561451,0.70550778457727
68466,164.761935,-21.139334,21.293,1,0.039096443547151,0.463718647443152,0.667241556794635
68467,164.784291,-21.134939,1.04,1,0.041855473071337,0.465115636587143,0.677668452262878
68483,165.5298,-21.131484,0.927,1,0.037324111908674,0.461687177419662,0.603207886219025
68484,165.561072,-21.149245,0.851,1,0.042256578294238,0.483032370996072,0.63624131964409
68522,167.280238,-21.128304,0.616,1,0.04102074727416,0.355821430683136,0.583826005458832
68523,167.311184,-21.144196,0.694,1,0.046863564704514,0.359549515178887,0.585320134026242
68525,167.41411,-21.139778,1.671,1,0.047738275017234,0.360550535631385,0.575400510101445
68528,167.552187,-21.136373,0.685,1,0.051370512288297,0.437627671969675,0.628026768579691
68529,167.568378,-21.146882,0.081,1,0.050679706037045,0.427098482847214,0.620774924755096
68534,167.824123,-21.125998,0.667,1,0.056045789271593,0.489706963300705,0.652925133705139
68535,167.838163,-21.122059,0.098,1,0.056045789271593,0.489706963300705,0.652925133705139
68661,158.690853,-21.187335,10.191,0,0.044571047979239,0.370878719626997,0.560811054773828
68671,159.164627,-21.172071,1.719,0,0.045909848064184,0.367523670196533,0.55395781993866
68672,159.175357,-21.191305,3.271,0,0.045684908298626,0.366711322350421,0.55338621893636
68796,164.762258,-21.185027,11.929,1,0.041844048965392,0.478610461603681,0.699419900500535
68797,164.812775,-21.190744,1.608,1,0.041150543200442,0.477892301786163,0.695767185669839
68814,165.583589,-21.171459,0.453,1,0.039244858631659,0.45998695121806,0.58974146750079
68815,165.604845,-21.187438,0.741,1,0.042643151822571,0.481558154137708,0.630038560051688
68816,165.679797,-21.178812,0.132,1,0.04388266056776,0.493988901376724,0.654090881347656
68817,165.682969,-21.17872,0.309,1,0.04388266056776,0.493988901376724,0.654090881347656
68820,165.836534,-21.194905,1.933,1,0.046997922974537,0.487869159381368,0.724337274808217
68853,167.330767,-21.174682,0.541,1,0.046506080776453,0.366316080093384,0.598827421665192
68854,167.366248,-21.182232,1.231,1,0.049644569989016,0.369623811001837,0.591353252544131
68855,167.401703,-21.171151,1.053,1,0.050595201797277,0.377738437046477,0.595528576835481
68990,158.66692,-21.234162,4.549,0,0.041497733443975,0.366481959819794,0.560491979122162
68991,158.682516,-21.225596,5.183,0,0.043407421161689,0.366842659560431,0.563021180920625
69002,159.182647,-21.210263,1.674,0,0.044478893280029,0.362355917692184,0.550321578979492
69126,164.765178,-21.224453,4.378,1,0.047698546200991,0.492000222206116,0.738954901695251
69128,164.847941,-21.217422,2.844,1,0.043644167482853,0.4871726334095,0.697864055633545
69129,164.88258,-21.238105,1.41,1,0.043644167482853,0.4871726334095,0.697864055633545
69145,165.606543,-21.207098,0.595,1,0.040890795063413,0.466912216666287,0.601042237680116
69146,165.664726,-21.22312,0.597,1,0.041259240359068,0.470887422561646,0.607899785041809
69147,165.687879,-21.234392,1.734,1,0.041259240359068,0.470887422561646,0.607899785041809
69148,165.755716,-21.204125,0.007,1,0.045552112162113,0.488162577152252,0.663457751274109
69150,165.85472,-21.213877,2.052,1,0.04595855080841,0.481342985614974,0.714765253755702
69151,165.869537,-21.23784,1.874,1,0.045432865619659,0.484619051218033,0.70272833108902
69320,158.671219,-21.27932,0.91,0,0.041270754621563,0.364182588476424,0.564595892376124
69321,158.676879,-21.277762,1.221,0,0.041259240359068,0.364065945148468,0.564804077148438
69327,158.987681,-21.284398,0.089,0,0.049010254442692,0.334213972091675,0.568692147731781
69328,158.991202,-21.283223,0.533,0,0.049010254442692,0.334213972091675,0.568692147731781
69333,159.238531,-21.261699,2.215,0,0.046448018660571,0.38256936656286,0.550178541387423
69334,159.270273,-21.279112,3.314,0,0.045909848064184,0.377840459346771,0.547715902328491
69456,164.778558,-21.259809,1.493,1,0.05003306706243,0.497637235163382,0.747600061537941
69457,164.78799,-21.276223,1.867,1,0.05127301684537,0.500631259808117,0.752191823491108
69458,164.856649,-21.252112,0.626,1,0.045857342914359,0.486048272676365,0.687825369208829
69459,164.894387,-21.262857,3.038,1,0.046506080776453,0.485531002283096,0.684224605560303
69477,165.693861,-21.271077,2.256,1,0.041771852912436,0.467049582246613,0.609741975912912
69478,165.743643,-21.253214,1.136,1,0.042450580886036,0.469125756615949,0.622632149112874
69479,165.779435,-21.259708,0.63,1,0.043387841268985,0.474321544563251,0.632600046165141
69481,165.888558,-21.255148,2.336,1,0.044764817800851,0.476881244400353,0.691948579871049
69650,158.66653,-21.305629,6.615,0,0.041010654937726,0.364147352149721,0.568823814463442
69651,158.676264,-21.308968,1.948,0,0.041004807730503,0.364149266998964,0.568918366416387
69663,159.25325,-21.303733,0.027,0,0.046955789674825,0.382875164381168,0.548755864633947
69664,159.288648,-21.30444,4.368,0,0.047834809290834,0.389878596485973,0.551368857328705
69665,159.326111,-21.322816,2.178,0,0.047817792743444,0.386844485998154,0.548245012760162
69787,164.810853,-21.310862,4.105,1,0.050524693933831,0.497231172955973,0.727710158537791
69788,164.860948,-21.310193,1.009,1,0.049297874001188,0.489196344242476,0.708060878455548
69789,164.886451,-21.3105,5.811,1,0.048767237609498,0.487158767220099,0.703134553798457
69807,165.717091,-21.289797,0.35,1,0.040424518287182,0.458177328109741,0.590646088123322
69808,165.756239,-21.299982,0.349,1,0.040969585498242,0.462934508882591,0.61673453431267
69809,165.774511,-21.313334,0.151,1,0.038516573607922,0.44161069393158,0.568434417247772
69981,158.676469,-21.350456,2.886,0,0.040961216681622,0.365313212635835,0.572437114975879
69994,159.274279,-21.340577,0.058,0,0.045790605247021,0.370454519987106,0.541990756988525
69995,159.340521,-21.330874,0.185,0,0.047817792743444,0.386844485998154,0.548245012760162
69996,159.363001,-21.354743,7.59,0,0.049519117565663,0.41053738400342,0.558036084081916
